data;

set RETAILERS := 1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23 ;
set RETAILERS_1  := 1	2	3	4	5	6	7	8 ;
set RETAILERS_2 := 9	10	11	12	13	14	15	16	17	18;
set RETAILERS_3 := 19	20	21	22	23;
set GROUP_A := 1 2 3 5 6 10 15 20 ;
set GROUP_B := 4 7 8 9 11 12 13 14 16 17 18 19 21 22 23 ;

param: RETAILERS: deliveryPoints :=
    1 11
    2 47
    3 44
    4 25
    5 10
    6 26
    7 26
    8 54
    9 18
    10 51
    11 20
    12 105
    13 7
    14 16
    15 34
    16 100
    17 50
    18 21
    19 11
    20 19
    21 14
    22 10
    23 11 ;

param: spiritMarket :=
    1 34
    2 411
    3 82
    4 157
    5 5
    6 183
    7 14
    8 215
    9 102
    10 21
    11 54
    12 0
    13 6
    14 96
    15 118
    16 112
    17 535
    18 8
    19 53
    20 28
    21 69
    22 65
    23 27 ;

param: RETAILERS_1: oilMarket1 :=
    1  9
    2  13
    3  14
    4  17
    5  18
    6  19
    7  23
    8  21 ;

param: RETAILERS_2: oilMarket2 := 
    9  9
    10  11
    11  17
    12  18
    13  18
    14  17
    15  22
    16  24
    17  36
    18  43 ;

param: RETAILERS_3: oilMarket3 :=
    19  6
    20  15
    21  15
    22  25
    23  39 ;


param: GROUP_A: retailerA :=
    1 1 
    2 1 
    3 1 
    5 1 
    6 1 
    10 1 
    15 1 
    20 1  ;


param: GROUP_B: retailerB :=
    4 1
    7 1
    8 1
    9 1
    11 1
    12 1
    13 1
    14 1
    16 1
    17 1
    18 1
    19 1
    21 1
    22 1
    23 1  ;

param  deliveryPoints40 := 292;
param  deliveryPoints5 := 36.5;
param  spiritMarket40 := 958;
param  spiritMarket5 := 119.75;
param  oilMarket1_40 := 53.6;
param  oilMarket1_5 := 6.7;
param  oilMarket2_40 := 86;
param  oilMarket2_5 := 10.75;
param  oilMarket3_40 := 40;
param  oilMarket3_5 := 5;
param  retailerA40 := 3.2;
param  retailerA5 := 0.4;
param  retailerB40 := 6;
param  retailerB5 := 0.75;
