data;

param SIZE := 3;

param: ID: one_x one_y one_z two_x two_y two_z three_x three_y three_z :=
    1	0 0 0	1 0 0	2 0 0
    2	0 0 0	0 1 0	0 2 0
    3	0 0 0	0 0 1	0 0 2
    4	0 0 0	1 1 0	2 2 0
    5	0 0 0	1 0 1	2 0 2
    6	0 0 0	0 1 1	0 2 2
    7	0 0 1	1 0 1	2 0 1
    8	0 0 1	0 1 1	0 2 1
    9	0 0 1	1 1 1	2 2 1
    10	0 0 2	1 0 2	2 0 2
    11	0 0 2	0 1 2	0 2 2
    12	0 0 2	1 1 2	2 2 2
    13	0 0 2	1 0 1	2 0 0
    14	0 0 2	0 1 1	0 2 0
    15	0 1 0	1 1 0	2 1 0
    16	0 1 0	0 1 1	0 1 2
    17	0 1 0	1 1 1	2 1 2
    18	0 1 1	1 1 1	2 1 1
    19	0 1 2	1 1 2	2 1 2
    20	0 1 2	1 1 1	2 1 0
    21	0 2 0	1 2 0	2 2 0
    22	0 2 0	0 2 1	0 2 2
    23	0 2 0	1 1 0	2 0 0
    24	0 2 0	1 2 1	2 2 2
    25	0 2 1	1 2 1	2 2 1
    26	0 2 1	1 1 1	2 0 1
    27	0 2 2	1 2 2	2 2 2
    28	0 2 2	1 1 2	2 0 2
    29	0 2 2	1 2 1	2 2 0
    30	1 0 0	1 1 0	1 2 0
    31	1 0 0	1 0 1	1 0 2
    32	1 0 0	1 1 1	1 2 2
    33	1 0 1	1 1 1	1 2 1
    34	1 0 2	1 1 2	1 2 2
    35	1 0 2	1 1 1	1 2 0
    36	1 1 0	1 1 1	1 1 2
    37	1 2 0	1 2 1	1 2 2
    38	2 0 0	2 1 0	2 2 0
    39	2 0 0	2 0 1	2 0 2
    40	2 0 0	2 1 1	2 2 2
    41	2 0 1	2 1 1	2 2 1
    42	2 0 2	2 1 2	2 2 2
    43	2 0 2	2 1 1	2 2 0
    44	2 1 0	2 1 1	2 1 2
    45	2 2 0	2 2 1	2 2 2
    46	0 0 0	1 1 1	2 2 2
    47	2 0 0	1 1 1	0 2 2
    48	0 2 0	1 1 1	2 0 2
    49	0 0 2	1 1 1	2 2 0 ;
