param: FARMS: point_x point_y collect :=
    0  0 0      0
    1  -3 3     5
    2  1 11     4
    3  4 7      3
    4  -5 9     6
    5  -5 -2    7
    6  -4 -7    3
    7  6 0      4
    8  3 -6     6
    9  -1 -3    5
    10  0 -6    4
    11  6 4     7 
    12  2 5     3
    13  -2 8    4
    14  6 10    5
    15  1 8     6
    16  -3 1    8
    17  -6 5    5
    18  2 9     7
    19  -6 -5   6
    20  5 -4    6 ;

set dayType := 1 2 ;
param tankerCap := 80 ;

param everyDayReq := 43 ;

param: ARCS: dist := 
    0  1 	4.2426
    0  2 	11.0454
    0  3 	8.0623
    0  4 	10.2956
    0  5 	5.3852
    0  6 	8.0623
    0  7 	6
    0  8 	6.7082
    0  9 	3.1623
    0  10 	6
    0  11 	7.2111
    0  12 	5.3852
    0  13 	8.2462
    0  14 	11.6619
    0  15 	8.0623
    0  16 	3.1623
    0  17 	7.8102
    0  18 	9.2195
    0  19 	7.8102
    0  20 	6.4031
    1  2 	8.9443
    1  3 	8.0623
    1  4 	6.3246
    1  5 	5.3852
    1  6 	10.0499
    1  7 	9.4868
    1  8 	10.8167
    1  9 	6.3246
    1  10 	9.4868
    1  11 	9.0554
    1  12 	5.3852
    1  13 	5.099
    1  14 	11.4018
    1  15 	6.4031
    1  16 	2
    1  17 	3.6056
    1  18 	7.8102
    1  19 	8.544
    1  20 	10.6301
    2  3 	5
    2  4 	6.3246
    2  5 	14.3178
    2  6 	18.6815
    2  7 	12.083
    2  8 	17.1172
    2  9 	14.1421
    2  10 	17.0294
    2  11 	8.6023
    2  12 	6.0828
    2  13 	4.2426
    2  14 	5.099
    2  15 	3
    2  16 	10.7703
    2  17 	9.2195
    2  18 	2.2361
    2  19 	17.4642
    2  20 	15.5242
    3  4 	9.2195
    3  5 	12.7279
    3  6 	16.1245
    3  7 	7.2801
    3  8 	13.0384
    3  9 	11.1803
    3  10 	13.6015
    3  11 	3.6056
    3  12 	2.8284
    3  13 	6.0828
    3  14 	3.6056
    3  15 	3.1623
    3  16 	9.2195
    3  17 	10.198
    3  18 	2.8284
    3  19 	15.6205
    3  20 	11.0454
    4  5 	11
    4  6 	16.0312
    4  7 	14.2127
    4  8 	17
    4  9 	12.6491
    4  10 	15.8114
    4  11 	12.083
    4  12 	8.0623
    4  13 	3.1623
    4  14 	11.0454
    4  15 	6.0828
    4  16 	8.2462
    4  17 	4.1231
    4  18 	7
    4  19 	14.0357
    4  20 	16.4012
    5  6 	5.099
    5  7 	11.1803
    5  8 	8.9443
    5  9 	4.1231
    5  10 	6.4031
    5  11 	12.53
    5  12 	9.8995
    5  13 	10.4403
    5  14 	16.2788
    5  15 	11.6619
    5  16 	3.6056
    5  17 	7.0711
    5  18 	13.0384
    5  19 	3.1623
    5  20 	10.198
    6  7 	12.2066
    6  8 	7.0711
    6  9 	5
    6  10 	4.1231
    6  11 	14.8661
    6  12 	13.4164
    6  13 	15.1327
    6  14 	19.7231
    6  15 	15.8114
    6  16 	8.0623
    6  17 	12.1655
    6  18 	17.088
    6  19 	2.8284
    6  20 	9.4868
    7  8 	6.7082
    7  9 	7.6158
    7  10 	8.4853
    7  11 	4
    7  12 	6.4031
    7  13 	11.3137
    7  14 	10
    7  15 	9.434
    7  16 	9.0554
    7  17 	13
    7  18 	9.8489
    7  19 	13
    7  20 	4.1231
    8  9 	5
    8  10 	3
    8  11 	10.4403
    8  12 	11.0454
    8  13 	14.8661
    8  14 	16.2788
    8  15 	14.1421
    8  16 	9.2195
    8  17 	14.2127
    8  18 	15.0333
    8  19 	9.0554
    8  20 	2.8284
    9  10 	3.1623
    9  11 	9.8995
    9  12 	8.544
    9  13 	11.0454
    9  14 	14.7648
    9  15 	11.1803
    9  16 	4.4721
    9  17 	9.434
    9  18 	12.3693
    9  19 	5.3852
    9  20 	6.0828
    10  11 	11.6619
    10  12 	11.1803
    10  13 	14.1421
    10  14 	17.088
    10  15 	14.0357
    10  16 	7.6158
    10  17 	12.53
    10  18 	15.1327
    10  19 	6.0828
    10  20 	5.3852
    11  12 	4.1231
    11  13 	8.9443
    11  14 	6
    11  15 	6.4031
    11  16 	9.4868
    11  17 	12.0416
    11  18 	6.4031
    11  19 	15
    11  20 	8.0623
    12  13 	5
    12  14 	6.4031
    12  15 	3.1623
    12  16 	6.4031
    12  17 	8
    12  18 	4
    12  19 	12.8062
    12  20 	9.4868
    13  14 	8.2462
    13  15 	3
    13  16 	7.0711
    13  17 	5
    13  18 	4.1231
    13  19 	13.6015
    13  20 	13.8924
    14  15 	5.3852
    14  16 	12.7279
    14  17 	13
    14  18 	4.1231
    14  19 	19.2094
    14  20 	14.0357
    15  16 	8.0623
    15  17 	7.6158
    15  18 	1.4142
    15  19 	14.7648
    15  20 	12.6491
    16  17 	5
    16  18 	9.434
    16  19 	6.7082
    16  20 	9.434
    17  18 	8.9443
    17  19 	10
    17  20 	14.2127
    18  19 	16.1245
    18  20 	13.3417
    19  20 	11.0454 ;
