param n := 17 ;
param vns := 6 ;

param: LOCATIONS: point_x point_y := 
    0   0 0
    1   8 36
    2   48 4
    3   16 7
    4   31 48
    5   28 30
    6   41 24
    7   50 13
    8   6 31
    9   1 24
    10  27 38
    11  48 49
    12  0 44
    13  28 17
    14  46 14
    15  37 6
    16  20 1 ;


param: ARCS: time :=
    0  1 	36.8782
    0  2 	48.1664
    0  3 	17.4642
    0  4 	57.1402
    0  5 	41.0366
    0  6 	47.5079
    0  7 	51.6624
    0  8 	31.5753
    0  9 	24.0208
    0  10 	46.6154
    0  11 	68.593
    0  12 	44
    0  13 	32.7567
    0  14 	48.0833
    0  15 	37.4833
    0  16 	20.025
    1  0 	36.8782
    1  2 	51.225
    1  3 	30.0832
    1  4 	25.9422
    1  5 	20.8806
    1  6 	35.1141
    1  7 	47.8853
    1  8 	5.3852
    1  9 	13.8924
    1  10 	19.105
    1  11 	42.0595
    1  12 	11.3137
    1  13 	27.5862
    1  14 	43.909
    1  15 	41.7253
    1  16 	37
    2  0 	48.1664
    2  1 	51.225
    2  3 	32.1403
    2  4 	47.1699
    2  5 	32.8024
    2  6 	21.1896
    2  7 	9.2195
    2  8 	49.93
    2  9 	51.0784
    2  10 	39.9625
    2  11 	45
    2  12 	62.482
    2  13 	23.8537
    2  14 	10.198
    2  15 	11.1803
    2  16 	28.1603
    3  0 	17.4642
    3  1 	30.0832
    3  2 	32.1403
    3  4 	43.6578
    3  5 	25.9422
    3  6 	30.2324
    3  7 	34.5254
    3  8 	26
    3  9 	22.6716
    3  10 	32.8938
    3  11 	52.8015
    3  12 	40.3113
    3  13 	15.6205
    3  14 	30.8058
    3  15 	21.0238
    3  16 	7.2111
    4  0 	57.1402
    4  1 	25.9422
    4  2 	47.1699
    4  3 	43.6578
    4  5 	18.2483
    4  6 	26
    4  7 	39.8246
    4  8 	30.2324
    4  9 	38.4187
    4  10 	10.7703
    4  11 	17.0294
    4  12 	31.257
    4  13 	31.1448
    4  14 	37.1618
    4  15 	42.4264
    4  16 	48.2701
    5  0 	41.0366
    5  1 	20.8806
    5  2 	32.8024
    5  3 	25.9422
    5  4 	18.2483
    5  6 	14.3178
    5  7 	27.8029
    5  8 	22.0227
    5  9 	27.6586
    5  10 	8.0623
    5  11 	27.5862
    5  12 	31.305
    5  13 	13
    5  14 	24.0832
    5  15 	25.632
    5  16 	30.0832
    6  0 	47.5079
    6  1 	35.1141
    6  2 	21.1896
    6  3 	30.2324
    6  4 	26
    6  5 	14.3178
    6  7 	14.2127
    6  8 	35.6931
    6  9 	40
    6  10 	19.799
    6  11 	25.9615
    6  12 	45.618
    6  13 	14.7648
    6  14 	11.1803
    6  15 	18.4391
    6  16 	31.1448
    7  0 	51.6624
    7  1 	47.8853
    7  2 	9.2195
    7  3 	34.5254
    7  4 	39.8246
    7  5 	27.8029
    7  6 	14.2127
    7  8 	47.5395
    7  9 	50.2195
    7  10 	33.9706
    7  11 	36.0555
    7  12 	58.8303
    7  13 	22.3607
    7  14 	4.1231
    7  15 	14.7648
    7  16 	32.311
    8  0 	31.5753
    8  1 	5.3852
    8  2 	49.93
    8  3 	26
    8  4 	30.2324
    8  5 	22.0227
    8  6 	35.6931
    8  7 	47.5395
    8  9 	8.6023
    8  10 	22.1359
    8  11 	45.6946
    8  12 	14.3178
    8  13 	26.0768
    8  14 	43.4626
    8  15 	39.8246
    8  16 	33.1059
    9  0 	24.0208
    9  1 	13.8924
    9  2 	51.0784
    9  3 	22.6716
    9  4 	38.4187
    9  5 	27.6586
    9  6 	40
    9  7 	50.2195
    9  8 	8.6023
    9  10 	29.5296
    9  11 	53.2353
    9  12 	20.025
    9  13 	27.8927
    9  14 	46.0977
    9  15 	40.2492
    9  16 	29.8329
    10  0 	46.6154
    10  1 	19.105
    10  2 	39.9625
    10  3 	32.8938
    10  4 	10.7703
    10  5 	8.0623
    10  6 	19.799
    10  7 	33.9706
    10  8 	22.1359
    10  9 	29.5296
    10  11 	23.7065
    10  12 	27.6586
    10  13 	21.0238
    10  14 	30.6105
    10  15 	33.5261
    10  16 	37.6563
    11  0 	68.593
    11  1 	42.0595
    11  2 	45
    11  3 	52.8015
    11  4 	17.0294
    11  5 	27.5862
    11  6 	25.9615
    11  7 	36.0555
    11  8 	45.6946
    11  9 	53.2353
    11  10 	23.7065
    11  12 	48.2597
    11  13 	37.7359
    11  14 	35.0571
    11  15 	44.3847
    11  16 	55.5698
    12  0 	44
    12  1 	11.3137
    12  2 	62.482
    12  3 	40.3113
    12  4 	31.257
    12  5 	31.305
    12  6 	45.618
    12  7 	58.8303
    12  8 	14.3178
    12  9 	20.025
    12  10 	27.6586
    12  11 	48.2597
    12  13 	38.8973
    12  14 	54.9181
    12  15 	53.0377
    12  16 	47.4236
    13  0 	32.7567
    13  1 	27.5862
    13  2 	23.8537
    13  3 	15.6205
    13  4 	31.1448
    13  5 	13
    13  6 	14.7648
    13  7 	22.3607
    13  8 	26.0768
    13  9 	27.8927
    13  10 	21.0238
    13  11 	37.7359
    13  12 	38.8973
    13  14 	18.2483
    13  15 	14.2127
    13  16 	17.8885
    14  0 	48.0833
    14  1 	43.909
    14  2 	10.198
    14  3 	30.8058
    14  4 	37.1618
    14  5 	24.0832
    14  6 	11.1803
    14  7 	4.1231
    14  8 	43.4626
    14  9 	46.0977
    14  10  30.6105
    14  11 	35.0571
    14  12 	54.9181
    14  13 	18.2483
    14  15 	12.0416
    14  16 	29.0689
    15  0 	37.4833
    15  1 	41.7253
    15  2 	11.1803
    15  3 	21.0238
    15  4 	42.4264
    15  5 	25.632
    15  6 	18.4391
    15  7 	14.7648
    15  8 	39.8246
    15  9 	40.2492
    15  10 	33.5261
    15  11 	44.3847
    15  12 	53.0377
    15  13 	14.2127
    15  14 	12.0416
    15  16 	17.72
    16  0 	20.025
    16  1 	37
    16  2 	28.1603
    16  3 	7.2111
    16  4 	48.2701
    16  5 	30.0832
    16  6 	31.1448
    16  7 	32.311
    16  8 	33.1059
    16  9 	29.8329
    16  10 	37.6563
    16  11 	55.5698
    16  12 	47.4236
    16  13 	17.8885
    16  14 	29.0689
    16  15 	17.72 ;
